Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;9;Non;Oui;Non;1;Non;97101;Les Abymes;Commune;219711017;97101;21971101700018;ABYMES;Budget principal;M57;Achats et charges externes;7758913.27;7.75891327;52586;147.54712794279845;1;1;;;;;3;;;;;;2024;52586
2024;Oui;01;Guadeloupe;971;Guadeloupe;200044691;Communauté d'agglomération du Nord Grande Terre;5;Non;Non;Non;1;Non;97102;Anse-Bertrand;Commune;219711025;97102;21971102500011;ANSE BERTRAND;Budget principal;M57;Achats et charges externes;1393437.52;1.39343752;4107;339.28354516678843;1;1;;;;;3;;;;;;2024;4107
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;8;Non;Non;Non;2;Non;97103;Baie-Mahault;Commune;219711033;97103;21971103300015;BAIE MAHAULT;Budget principal;M57;Achats et charges externes;13570645.26;13.57064526;31370;432.5994663691425;1;1;;;;;3;;;;;;2024;31370
2024;Oui;01;Guadeloupe;971;Guadeloupe;200018653;Communauté d'agglomération Cap Excellence;8;Non;Non;Non;2;Non;97103;Baie-Mahault;Commune;219711033;97103;21971103300122;LOT BLACHON PIKA BAIE MAHAULT;Budget annexe;M57;Achats et charges externes;0.0;0.0;31370;0.0;1;3;;;;;3;;;;;;2024;31370
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97104;Baillif;Commune;219711041;97104;21971104100018;BAILLIF;Budget principal;M57;Achats et charges externes;1970556.18;1.97055618;5127;384.3487770626097;1;1;;;;;3;;;;;;2024;5127
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97104;Baillif;Commune;219711041;97104;21971104100067;CENTRE MUNICIPAL DE SANTE;Budget annexe;M4;Achats et charges externes;30157.16;0.03015716;5127;5.882028476692023;1;3;;;;;3;;;;;;2024;5127
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Non;Non;0;Non;97105;Basse-Terre;Commune;219711058;97105;21971105800012;BASSE TERRE;Budget principal;M57;Achats et charges externes;3222592.42;3.22259242;9973;323.1316975834754;1;1;;;;;3;;;;;;2024;9973
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Non;Non;0;Non;97105;Basse-Terre;Commune;219711058;97105;21971105800228;BUDGET ANNEXE PARKINGS;Budget annexe;M4;Achats et charges externes;208206.25;0.20820625;9973;20.8769928807781;1;3;;;;;3;;;;;;2024;9973
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97106;Bouillante;Commune;219711066;97106;21971106600015;BOUILLANTE;Budget principal;M57;Achats et charges externes;1916269.13;1.9162691299999999;6729;284.77769802348047;1;1;;;;;3;;;;;;2024;6729
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97106;Bouillante;Commune;219711066;97106;21971106600114;PARASISMIQUE ECOLE DE PIGEON;Budget annexe;M57;Achats et charges externes;0.0;0.0;6729;0.0;1;3;;;;;3;;;;;;2024;6729
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97106;Bouillante;Commune;219711066;97106;21971106600122;HALTE LEGERE DE PLAISANCE;Budget annexe;M57;Achats et charges externes;0.0;0.0;6729;0.0;1;3;;;;;3;;;;;;2024;6729
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;7;Non;Oui;Non;0;Non;97107;Capesterre-Belle-Eau;Commune;219711074;97107;21971107400019;CAPESTERRE BELLE EAU;Budget principal;M57;Achats et charges externes;8296339.49;8.29633949;17888;463.79357614042937;1;1;;;;;3;;;;;;2024;17888
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710047;Communauté de communes de Marie-Galante;4;Oui;Non;Non;0;Non;97108;Capesterre-de-Marie-Galante;Commune;219711082;97108;21971108200012;CAPESTERRE MARIE GALANTE;Budget principal;M57;Achats et charges externes;1466660.84;1.46666084;3226;454.63758214507135;1;1;;;;;3;;;;;;2024;3226
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710047;Communauté de communes de Marie-Galante;4;Oui;Non;Non;0;Non;97108;Capesterre-de-Marie-Galante;Commune;219711082;97108;21971108200079;LOT LES HAUTS DE BOREE CAPESTERRE;Budget annexe;M57;Achats et charges externes;0.0;0.0;3226;0.0;1;3;;;;;3;;;;;;2024;3226
2024;Oui;01;Guadeloupe;971;Guadeloupe;249710070;Communauté d'agglomération Grand Sud Caraïbe;6;Non;Oui;Non;1;Non;97109;Gourbeyre;Commune;219711090;97109;21971109000015;GOURBEYRE;Budget principal;M57;Achats et charges externes;2217345.83;2.21734583;7617;291.1048746225548;1;1;;;;;3;;;;;;2024;7617
